TENENCIA,N,TENENCIA,N
CASERO,3676.05546696874,CASERO,0.0710266532763107
INQUILINA,9228.8055299067,INQUILINA,0.178313732319088
PROPIETARIO,38851.1390031246,PROPIETARIO,0.750659614404602
