TENENCIA,N,TENENCIA,N
CASERO,237018.559594682,CASERO,0.0939631839348136
INQUILINA,952386.517083643,INQUILINA,0.377562287252103
PROPIETARIO,1333056.90970043,PROPIETARIO,0.528474528813084
