tipo,media,mediana
caseros,181235.732158703,118843.1
caseros (excluye rentas alq.),136128.293481422,82772.06
inquilinos,17158.4926086496,12004.03
prop. sin rentas alq.,57525.6674468077,32019.92
todos,62977.0721524845,31539.44
