TENENCIA,N,TENENCIA,N
CASERO,174376.907704594,CASERO,0.134028016492904
INQUILINA,360676.422552634,INQUILINA,0.277219880469371
PROPIETARIO,765994.855543729,PROPIETARIO,0.588752103037725
