quantiles,CASERO,INQUILINA,PROPIETARIO
hasta 13244.17,0.0215461156231519,0.480507415068625,0.191196896492994
entre 13244.17 y 22575.71,0.072048632483038,0.321336457724642,0.248276483914254
entre 22575.71 y 37518.99,0.284374733539718,0.183170531730522,0.275318394185063
mas de 37518.99,0.622030518354092,0.014985595476211,0.285208225407689
