TENENCIA,N,TENENCIA,N
CASERO,143688.635378306,CASERO,0.114542007428513
INQUILINA,327626.157044199,INQUILINA,0.26116858591586
PROPIETARIO,783147.553786888,PROPIETARIO,0.624289406655627
