TENENCIA,N,TENENCIA,N
CASERO,237810.320716006,CASERO,0.0739870829266932
INQUILINA,1757811.6277292,INQUILINA,0.546886923488988
PROPIETARIO,1218592.09147889,PROPIETARIO,0.379125993584319
