TENENCIA,N,TENENCIA,N
CASERO,259847.937966049,CASERO,0.0816366600887811
INQUILINA,1446061.34926123,INQUILINA,0.454310393075306
PROPIETARIO,1477071.71277272,PROPIETARIO,0.464052946835913
