TENENCIA,N,TENENCIA,N
CASERO,161.9997097822,CASERO,0.103283316901226
INQUILINA,213.5312715541,INQUILINA,0.136137391961347
PROPIETARIO,1192.9673458149,PROPIETARIO,0.760579291137427
