TENENCIA,N,TENENCIA,N
CASERO,166380.241092749,CASERO,0.13604015586742
INQUILINA,222351.230300452,INQUILINA,0.181804617115105
PROPIETARIO,834291.539951317,PROPIETARIO,0.682155227017476
