quantiles,CASERO,INQUILINA,PROPIETARIO
hasta 0,0.00389399585343053,0.0119226668136371,0.0100448852747606
entre 0 y 7862.4,0.12215982949058,0.51354919013748,0.183181697889309
entre 7862.4 y 18483.56,0.202491064825921,0.3512423216722,0.357382520337202
mas de 18483.56,0.671455109830068,0.123285821376684,0.449390896498728
