TENENCIA,N,TENENCIA,N
CASERO,131986.211531987,CASERO,0.113734188417516
INQUILINA,212100.908002287,INQUILINA,0.182770036007982
PROPIETARIO,816392.53366787,PROPIETARIO,0.703495775574501
