TENENCIA,N,TENENCIA,N
CASERO,2016.10951609097,CASERO,0.0389541215722035
INQUILINA,25378.7159040367,INQUILINA,0.490353116624868
PROPIETARIO,24361.1745798724,PROPIETARIO,0.470692761802929
