quantiles,CASERO,INQUILINA,PROPIETARIO
hasta 18318.09,0.0390219642463595,0.441388179906449,0.206598848090828
entre 18318.09 y 31680.03,0.123451045832985,0.292184613869069,0.258404938917534
entre 31680.03 y 53626.91,0.2610823376177,0.188845034748346,0.276592927091467
mas de 53626.91,0.576444652302956,0.0775821714761364,0.258403285900172
