niveles,caseros,inquilinos
hasta 17816.64,0.0189253155825875,0.651949019501522
entre 17816.64 y 31539.44,0.0475546973558765,0.226046303222812
entre 31539.44 y 65085.82,0.199391396599233,0.104317531998747
mas de 65085.82,0.734128590462304,0.0176871452769188
