TENENCIA,N,TENENCIA,N
CASERO,188118.503995118,CASERO,0.0556843549938438
INQUILINA,1774864.86497069,INQUILINA,0.525372055955183
PROPIETARIO,1415317.48440523,PROPIETARIO,0.418943589050974
