TENENCIA,N,TENENCIA,N
CASERO,237577.422220965,CASERO,0.0684146122744119
INQUILINA,1794845.76965861,INQUILINA,0.516857520700579
PROPIETARIO,1440189.08089102,PROPIETARIO,0.414727867025009
