Nº propiedades alquiladas,% total de hogares,% total de viviendas alquiladas,% total rentas del alquiler,ingresos medios alquiler,ingresos medios por inmueble
1,0.067,0.244,0.291,6369.132,6369.132
2,0.044,0.325,0.311,10226.179,5113.089
3,0.009,0.096,0.101,16837.628,5612.543
4,0.009,0.131,0.111,18106.494,4526.624
5+,0.008,0.204,0.186,35766.683,4827.11
no_caseros,0.864,0,0,0,0
