quantiles,CASERO,INQUILINA,PROPIETARIO
hasta 0,0.00235233895990047,0.00936843872539259,0.0294999240901049
entre 0 y 11015.48,0.110416205038928,0.516524617208876,0.191724419769214
entre 11015.48 y 21433.21,0.195297607458715,0.347856346324927,0.354802030736942
mas de 21433.21,0.691933848542457,0.126250597740805,0.423973625403739
