Nº propiedades alquiladas,% total de hogares,% total de viviendas alquiladas,% total rentas del alquiler,ingresos medios alquiler,ingresos medios por inmueble
1,0.056,0.25,0.28,5459.799,5459.799
2,0.039,0.348,0.328,9191.903,4595.952
3,0.006,0.087,0.09,15202.76,5067.587
4,0.007,0.121,0.118,18949.894,4737.473
5+,0.006,0.195,0.184,33072.72,4574.878
no_caseros,0.886,0,0,0,0
