quantiles,CASERO,INQUILINA,PROPIETARIO,wave
hasta 13420.21,0.0218384397817407,0.473201874092602,0.204140925303672,2016
entre 13420.21 y 22962.84,0.0872067142935372,0.32005517099513,0.243884873769332,2016
entre 22962.84 y 37755.87,0.268183686433285,0.192012948230773,0.267631247885611,2016
mas de 37755.87,0.622771159491437,0.0147300066814957,0.284342953041384,2016
hasta 18715.13,0.0330049273863555,0.528610123047862,0.201254038556635,2021
entre 18715.13 y 28296.14,0.128320077005787,0.289924067057362,0.249410247652043,2021
entre 28296.14 y 42718.86,0.178406853612663,0.121789618999971,0.300735802516891,2021
mas de 42718.86,0.660268141995194,0.0596761908948048,0.248599911274431,2021
