categories,total,freq,wave
CASERO,1470.60258149006,0.0762748460429265,2016
INQUILINA,4225.98171784295,0.219186413083874,2016
PROPIETARIO,13583.724449667,0.704538740873199,2016
CASERO,2095.3704459606,0.0996182583417598,2021
INQUILINA,4388.30818673027,0.20862927577875,2021
PROPIETARIO,14550.3213673094,0.691752465879491,2021
