Desc,Tipohog,index,Freq.,Total
Uni -65,1.1.1,1,0.121325507617783,2339.193246
Uni +65,1.1.2,2,0.0874940843510867,1686.91296
Uni con menor,1.2,3,0.0146665924120466,282.77643
2 adultos y 1 menor,2.1.1,4,0.15914154357923,3068.298095
2 adultos y 2 menores,2.1.2,5,0.234720833256092,4525.490135
2 adultos y 3 o más menores,2.1.3,6,0.035490419002522,684.266236
2 adultos uno al menos de 65 o más años sin menores,2.2.1,7,0.100533861372969,1938.323887
3 y más  uno al menos de 65 o más años sin menores,2.2.2,8,0.0578880269776742,1116.099033
2 adultos de 16 a 64 años sin menores,2.3.1,9,0.0913356908815755,1760.98032
3 y más  adultos de 16 a 64 años,2.3.2,10,0.0974034405490215,1877.968407
