Category,Freq,Total
Adult households 2+ inhabitants aged 18-64,0.16755740597411872,3524.40247725965
Adult households 2+ inhabitants aged 65+,0.2205637020853367,4639.33690966303
Households with underage children,0.3125131642273362,6573.401896357862
Individual household +65,0.153839692326866,3235.86408840333
Individual household -65,0.145526035386343,3060.99462831637
