index,Tipohog,Desc,Freq,Total
1,1,Adult households 2+ inhabitants aged 18-64,0.179736077845752,225472.141912857
2,2,Adult households 2+ inhabitants aged 65+,0.123100509510695,154424.953980359
3,3,Households with underage children,0.388414030289215,487250.775737255
4,4,Individual household +65,0.0807460215267087,101292.843611469
5,5,Individual household -65,0.228003360827629,286021.630967454
