index,Tipohog,Desc,Freq,Total
1,1,Adult households 2+ inhabitants aged 18-64,0.182117118735609,236943.146934262
2,2,Adult households 2+ inhabitants aged 65+,0.133345032686812,173488.312862746
3,3,Households with underage children,0.374648703765878,487436.016347276
4,4,Individual household +65,0.0771534149855107,100380.310595247
5,5,Individual household -65,0.232735729826189,302800.399061425
