Tramo, Freq.,Total,index
1,0.00253873623937774,2607.0000000009,1
2,0.0187430212501879,19246.9999999817,2
3,0.0625402875039612,64221.9254580169,3
4,0.147076210465616,151030.924259377,4
5,0.228047266681194,234179.201059421,5
6,0.428035304528884,439544.692197209,6
7,0.106537061173006,109401.722861214,7
8,0.00579935925251324,5955.2974967628,8
9,0.000682752905259336,701.1113625762,9
