Tramo,Freq.,Total,index
1,0.000340922090222026,351.9412450848,1
2,0.0165436285849843,17078.3454912764,2
3,0.0408679986366911,42188.9186322715,3
4,0.106291829336621,109727.353644667,4
5,0.215099174895178,222051.529075223,5
6,0.467068115185256,482164.514158226,6
7,0.143873928843727,148524.167558421,7
8,0.00893493130782002,9223.7227783434,8
9,0.000979471119501219,1011.1292145879,9
