Desc,Tipohog,Total,Freq.,index
Uni -65,1.1.1,224672,0.179091009818153,1
Uni +65,1.1.2,157764,0.125757166326694,2
Uni con menor,1.2,32195,0.025663345058999,3
2 adultos y 1 menor,2.1.1,72481,0.0577762047902254,4
2 adultos y 2 menores,2.1.2,65530,0.0522354092783415,5
2 adultos y 3 o más menores,2.1.3,14860,0.0118452339672845,6
2 adultos uno al menos de 65 o más años sin menores,2.2.1,171641,0.1368188292987,7
3 y más  uno al menos de 65 o más años sin menores,2.2.2,170756,0.136113376266328,8
2 adultos de 16 a 64 años sin menores,2.3.1,151211,0.12053362539886,9
3 y más  adultos de 16 a 64 años,2.3.2,193403,0.154165799796415,10
