Desc,Tipohog,index,Freq.,Total
Uni -65,1.1.1,1,0.145526035386343,3060.99462831637
Uni +65,1.1.2,2,0.153839692326866,3235.86408840333
Uni menor,1.2,3,0.0196875136247081,414.107161582115
2 adultos y 1 menor,2.1.1,4,0.132234122634594,2781.41253549608
2 adultos y 2 menores,2.1.2,5,0.120683507600495,2538.45689886884
2 adultos y 3 o más menores,2.1.3,6,0.0399080203675391,839.425300410826
2 adultos uno al menos de 65 o más años sin menores,2.2.1,7,0.15907841901281,3346.05546551549
3 y más  uno al menos de 65 o más años sin menores,2.2.2,8,0.0614852830725267,1293.28144414754
2 adultos de 16 a 64 años sin menores,2.3.1,9,0.0951158978846662,2000.66779610609
2 y más  adultos de 16 a 64 años sin menores,2.3.2,10,0.0724415080894525,1523.73468115356
