Desc,Tipohog,index,Freq.,Total
Uni -65,1.1.1,1,0.155049420132576,3392.315845
Uni +65,1.1.2,2,0.156917641464883,3433.190534
Uni con menor,1.2,3,0.0280644666898691,614.020581
2 adultos y 1 menor,2.1.1,4,0.137587484929763,3010.267338
2 adultos y 2 menores,2.1.2,5,0.0681396446564744,1490.822707
2 adultos y 3 o más menores,2.1.3,6,0.0260975736801577,570.987061
2 adultos uno al menos de 65 o más años sin menores,2.2.1,7,0.185529228761824,4059.18153
3 y más  uno al menos de 65 o más años sin menores,2.2.2,8,0.0661287962578764,1446.82749
2 adultos de 16 a 64 años sin menores,2.3.1,9,0.104377168714782,2283.661061
3 y más  adultos de 16 a 64 años,2.3.2,10,0.0721085747117945,1577.658661
