index,Tipohog,Desc,Freq,Total
1,1,Adult households 2+ inhabitants aged 18-64,0.188739131430597,3638.948727
2,2,Adult households 2+ inhabitants aged 65+,0.1584218883506432,3054.42292
3,3,Households with underage children,0.44401938824989057,8560.830896
4,4,Individual household +65,0.0874940843510867,1686.91296
5,5,Individual household -65,0.121325507617783,2339.193246
