url,title,location,price,currency,description,updated
https://www.idealista.com/inmueble/104656439/,Piso en venta en Sector Plaza de Toros,Segovia,110000,€,,
https://www.idealista.com/inmueble/102657897/,Piso en venta en calle San Juan,"Plaza Mayor - S.Agustín, Segovia",675000,€,,
https://www.idealista.com/inmueble/104602182/,Piso en venta en calle Londres,"Sector Plaza de Toros, Segovia",110000,€,,
https://www.idealista.com/inmueble/105785903/,Piso en venta en Centro,Segovia,275000,€,,
https://www.idealista.com/inmueble/103140749/,Dúplex en venta en José Zorrilla - Padre Claret,Segovia,285000,€,,
https://www.idealista.com/inmueble/99868241/,Casa o chalet en venta en Centro,Segovia,800000,€,,
https://www.idealista.com/inmueble/99614053/,Casa o chalet independiente en venta en S.Lorenzo - S.Marcos,Segovia,365000,€,,
https://www.idealista.com/inmueble/103212640/,Piso en venta en Ezequiel González - Cde. Sepulveda,Segovia,139900,€,,
https://www.idealista.com/inmueble/95914534/,Piso en venta en Centro,Segovia,480000,€,,
https://www.idealista.com/inmueble/95914534/,Piso en venta en Centro,Segovia,480000,€,,
https://www.idealista.com/inmueble/100701995/,Piso en venta en Plaza Mayor - S.Agustín,Segovia,515000,€,,
https://www.idealista.com/inmueble/100115506/,Piso en venta en via Roma,"S.Lorenzo - S.Marcos, Segovia",126000,€,,
https://www.idealista.com/inmueble/102468804/,Casa o chalet independiente en venta en Plaza Mayor - S.Agustín,Segovia,675000,€,,
https://www.idealista.com/inmueble/96853331/,Piso en venta en Ezequiel González - Cde. Sepulveda,Segovia,252500,€,,
https://www.idealista.com/inmueble/103809509/,Piso en venta en Plaza Mayor - S.Agustín,Segovia,345000,€,,
https://www.idealista.com/inmueble/98974754/,Casa o chalet en venta en El Carmen,Segovia,275000,€,,
https://www.idealista.com/inmueble/104557982/,Piso en venta en calle Pinar de Valsaín,"Sector Plaza de Toros, Segovia",100000,€,,
https://www.idealista.com/inmueble/104972746/,Chalet adosado en venta en calle Santa,"Centro, Segovia",148000,€,,
https://www.idealista.com/inmueble/104940718/,Chalet adosado en venta en Vía Roma,Segovia,239900,€,,
https://www.idealista.com/inmueble/101175988/,Piso en venta en El Cerro - Crtra. San Rafael,Segovia,210000,€,,
https://www.idealista.com/inmueble/103262317/,Piso en venta en Centro,Segovia,180000,€,,
https://www.idealista.com/inmueble/105567388/,Piso en venta en Centro,Segovia,190000,€,,
https://www.idealista.com/inmueble/103213818/,Piso en venta en Centro,Segovia,180000,€,,
https://www.idealista.com/inmueble/103800832/,Piso en venta en Vía Roma,Segovia,450000,€,,
https://www.idealista.com/inmueble/103212245/,Casa o chalet independiente en venta en El Cerro - Crtra. San Rafael,Segovia,85000,€,,
https://www.idealista.com/inmueble/91298667/,Casa o chalet en venta en Plaza Mayor - S.Agustín,Segovia,360000,€,,
https://www.idealista.com/inmueble/105392725/,Piso en venta en José Zorrilla - Padre Claret,Segovia,159000,€,,
https://www.idealista.com/inmueble/105368654/,Dúplex en venta en Centro,Segovia,190000,€,,
https://www.idealista.com/inmueble/98960782/,Piso en venta en calle Severo Ochoa,"Centro, Segovia",366600,€,,
https://www.idealista.com/inmueble/99896859/,Casa o chalet independiente en venta en Plaza Mayor - S.Agustín,Segovia,1650000,€,,
https://www.idealista.com/inmueble/104787404/,Chalet pareado en venta en calle Domingo Vidaechea,"S.Lorenzo - S.Marcos, Segovia",400000,€,,
https://www.idealista.com/inmueble/105739216/,"Piso en venta en calle Ramón y Cajal, 1","Centro, Segovia",487500,€,,
https://www.idealista.com/inmueble/99022191/,Casa o chalet independiente en venta en El Carmen,Segovia,275000,€,,
https://www.idealista.com/inmueble/99000670/,Casa o chalet independiente en venta en Plaza Mayor - S.Agustín,Segovia,1950000,€,,
https://www.idealista.com/inmueble/104532927/,Piso en venta en calle los Cañuelos,"Centro, Segovia",280000,€,,
https://www.idealista.com/inmueble/101105012/,Piso en venta en José Zorrilla,"Centro, Segovia",236000,€,,
https://www.idealista.com/inmueble/105203745/,Casa o chalet independiente en venta en calle San Juan,"Plaza Mayor - S.Agustín, Segovia",675000,€,,
https://www.idealista.com/inmueble/105093129/,Chalet adosado en venta en calle de San Valentín,"Plaza Mayor - S.Agustín, Segovia",730000,€,,
https://www.idealista.com/inmueble/104635216/,Piso en venta en José Zorrilla - Padre Claret,Segovia,187000,€,,
https://www.idealista.com/inmueble/99305938/,Piso en venta en calle de San Antón,"Centro, Segovia",128000,€,,
https://www.idealista.com/inmueble/104569454/,Piso en venta en calle Gobernador Fernández Jiménez,"Centro, Segovia",550000,€,,
https://www.idealista.com/inmueble/83066672/,Piso en venta en calle valdeláguila,"Plaza Mayor - S.Agustín, Segovia",200000,€,,
https://www.idealista.com/inmueble/105492324/,Piso en venta en Centro,Segovia,485000,€,,
https://www.idealista.com/inmueble/105420368/,Piso en venta en El Cerro - Crtra. San Rafael,Segovia,189000,€,,
https://www.idealista.com/inmueble/95812290/,Chalet adosado en venta en S.Lorenzo - S.Marcos,Segovia,575000,€,,
