quantiles,CASERO,INQUILINA,PROPIETARIO
hasta 5781.51,0.0687209540231936,0.417210319021868,0.141220230274249
entre 5781.51 y 16230.82,0.202147673429421,0.290486147101526,0.222351383957427
entre 16230.82 y 27080.83,0.237581624255335,0.201674141966015,0.296624132496955
mas de 27080.83,0.49154974829205,0.090629391910591,0.339804253271369
