TENENCIA,N,TENENCIA,N
CASERO,168518.37731612,CASERO,0.129525085354449
INQUILINA,403851.899012734,INQUILINA,0.310405028361124
PROPIETARIO,728677.909472102,PROPIETARIO,0.560069886284427
