TENENCIA,N,TENENCIA,N
CASERO,415413.12346971,CASERO,0.130510714160628
INQUILINA,831006.399849225,INQUILINA,0.261078027122759
PROPIETARIO,1936561.47668106,PROPIETARIO,0.608411258716613
