TENENCIA,N,TENENCIA,N
CASERO,321388.729254787,CASERO,0.100970985769248
INQUILINA,1338828.69110748,INQUILINA,0.420621012537456
PROPIETARIO,1522763.57963773,PROPIETARIO,0.478408001693296
