TENENCIA,media,mediana,media_noal,mediana_noal
CASERO,76434.5959954621,53577.4,71782.5435114786,49073.75
INQUILINA,20592.3441994258,16640.87,20592.3441994258,16640.87
PROPIETARIO,41045.0035004108,30743.85,41045.0035004108,30743.85
