Nº propiedades alquiladas,% total de hogares,% total de viviendas alquiladas,% total rentas del alquiler,ingresos medios alquiler,ingresos medios por inmueble
1,0.057,0.256,0.297,6501.269,6501.269
2,0.033,0.294,0.281,10704.932,5352.466
3,0.006,0.082,0.09,18475.978,6158.659
4,0.007,0.135,0.115,19166.718,4791.68
5+,0.007,0.234,0.217,39944.071,5312.618
no_caseros,0.89,0,0,0,0
