quantiles,CASERO,INQUILINA,PROPIETARIO
hasta 15809.42,0.034355548797705,0.473352519521533,0.195747834137613
entre 15809.42 y 28243.03,0.129226533668608,0.288007974209772,0.256212230467944
entre 28243.03 y 47461.86,0.257683820738421,0.1699749620951,0.282140483949219
mas de 47461.86,0.578734096795266,0.0686645441735946,0.265899451445224
