Tramo,Freq,Total
1,0.00148409361419903,3583.9999999877
2,0.0207657161174574,50147.9999999048
3,0.0476186849118801,114996.362150444
4,0.0877673961624383,211953.171171663
5,0.174390490690501,421142.920266476
6,0.448498092664862,1083096.88063234
7,0.189419700791362,457437.590957028
8,0.0238421644732994,57577.4443434484
9,0.00621366057400083,15005.6298902422
