quantiles,CASERO,INQUILINA,PROPIETARIO
hasta 4.63,0.0561038593467848,0.4604201884258,0.0484559343345456
entre 4.63 y 9074.89,0.0521276301415788,0.312809145910276,0.190395431774806
entre 9074.89 y 18659.32,0.134717260317884,0.167680317070612,0.345523719044557
mas de 18659.32,0.757051250193753,0.0590903485933119,0.415624914846091
