Nº propiedades alquiladas,% total de hogares,% total de viviendas alquiladas,% total rentas del alquiler,ingresos medios alquiler,ingresos medios por inmueble
1,0.043,0.327,0.344,4874.115,4874.115
2,0.022,0.34,0.403,10981.932,5490.966
3,0.006,0.136,0.124,12674.431,4224.81
4,0.002,0.062,0.057,17278.493,4319.623
5+,0.003,0.135,0.072,13969.386,2208.799
no_caseros,0.924,0,0,0,0
