Nº propiedades alquiladas,% total de hogares,% total de viviendas alquiladas,% total rentas del alquiler,ingresos medios alquiler,ingresos medios por inmueble
1,0.044,0.327,0.344,4884.119,4884.119
2+,0.034,0.673,0.656,11944.551,4887.902
no_caseros,0.922,0,0,0,0
