TENENCIA,N,TENENCIA,N
CASERO,1497.98464478947,CASERO,0.0776950547987029
INQUILINA,4297.00148573817,INQUILINA,0.222869952015734
PROPIETARIO,13485.3226184724,PROPIETARIO,0.699434993185563
