TENENCIA,media,mediana,media_noal,mediana_noal
CASERO,52863.854644741,46631.39,44897.4260060989,35359.56
INQUILINA,15000.5105252896,14405.3,15000.5105252896,14405.3
PROPIETARIO,32135.920206276,25812.09,32135.920206276,25812.09
