TENENCIA,N,TENENCIA,N
CASERO,2634.81183591912,CASERO,0.0518643328199504
INQUILINA,23247.3812267213,INQUILINA,0.457607598652047
PROPIETARIO,24919.8069373596,PROPIETARIO,0.490528068528003
