TENENCIA,media,mediana,media_noal,mediana_noal
CASERO,57104.6555098131,53947.11,49473.2699240374,45684.49
INQUILINA,19044.4754900073,16769.21,19044.4754900073,16769.21
PROPIETARIO,35451.3725725621,29788.38,35451.3725725621,29788.38
