Nº propiedades alquiladas,% total de hogares,% total de viviendas alquiladas,% total rentas del alquiler,ingresos medios alquiler,ingresos medios por inmueble
1,0.061,0.33,0.33,4267.744,4267.744
2+,0.043,0.67,0.67,12471.958,4154.534
no_caseros,0.896,0,0,0,0
