TENENCIA,N,TENENCIA,N
CASERO,2663.17146804631,CASERO,0.0514562846442212
INQUILINA,22896.0176039127,INQUILINA,0.442383831901861
PROPIETARIO,26196.810928041,PROPIETARIO,0.506159883453918
