quantiles,CASERO,INQUILINA,PROPIETARIO,wave
hasta 15160.91,0.0323572671944164,0.455382144176343,0.190370431382977,2016
entre 15160.91 y 27977.89,0.120670037311735,0.301535400978006,0.248831550662985,2016
entre 27977.89 y 48136.53,0.257996768724804,0.174656832500925,0.285353351399502,2016
mas de 48136.53,0.588975926769044,0.0684256223447255,0.275444666554536,2016
hasta 17775.85,0.0383081072068598,0.429228001547492,0.199655578711935,2021
entre 17775.85 y 31552.82,0.116981903695885,0.297537491516017,0.254388184232919,2021
entre 31552.82 y 54380.28,0.25023120383304,0.195416961645085,0.280244779561954,2021
mas de 54380.28,0.594478785264215,0.0778175452914059,0.265711457493192,2021
