TENENCIA,N,TENENCIA,N,wave
CASERO,139578.937401893,CASERO,0.111265944190082,2016
INQUILINA,365742.936531352,INQUILINA,0.291553538961545,2016
PROPIETARIO,749140.472276149,PROPIETARIO,0.597180516848373,2016
CASERO,168518.37731612,CASERO,0.129525085354449,2021
INQUILINA,403851.899012734,INQUILINA,0.310405028361124,2021
PROPIETARIO,728677.909472102,PROPIETARIO,0.560069886284427,2021
